Start,Finish,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1806,1807,Ashanti–Fante War,"Ashanti Empire
Holland","Fante Confederacy
United Kingdom",,https://en.wikipedia.org/wiki/Ashanti%E2%80%93Fante_War,
1806,1811,"War of Christophe's
Secession",Forces of Henri Christophe,Forces of Alexandre Pétion,,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti,https://en.wikipedia.org/wiki/Henri_Christophe#State_and_Kingdom_of_Haiti
1806,1806,Vellore Mutiny,British East India Company,Vellore Sepoys,,https://en.wikipedia.org/wiki/Vellore_Mutiny,
1807,1809,"Anglo-Turkish War
(1807–1809)
",Ottoman Empire,United Kingdom,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809),https://en.wikipedia.org/wiki/Anglo-Turkish_War_(1807%E2%80%931809)
1807,1807,"Alexandria expedition
of 1807",Egypt,British Empire,,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807,https://en.wikipedia.org/wiki/Alexandria_expedition_of_1807
1807,1807,Tican's rebellion,Austrian Empire,Serbian Rebels,,https://en.wikipedia.org/wiki/Tican's_rebellion,
1807,1807,Froberg mutiny,British Empire,Navy Mutineers,,https://en.wikipedia.org/wiki/Froberg_mutiny,
,,,,,,,
1807,1807,"Brazilian slave revolt of
1807",Colonial Brazil,Rebels,,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807,https://en.wikipedia.org/wiki/Slave_revolts_in_Brazil_before_1835#1807
1807,1808,Janissaries' Revolt,Ottoman Empire,Janissaries,,https://en.wikipedia.org/wiki/Janissaries'_Revolt,
1807,1814,"Gunboat War
",United Kingdom,Denmark–Norway,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Gunboat_War,https://en.wikipedia.org/wiki/Napoleonic_Wars
1807,1812,"Anglo-Russian War
(1807–1812)
",United Kingdom,Russian Empire,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812),https://en.wikipedia.org/wiki/Anglo-Russian_War_(1807%E2%80%931812)
1807,1807,Basi Revolt,Spain,Rebels,,https://en.wikipedia.org/wiki/Basi_Revolt,
