Started,Ended,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
1992,1993[95][b],War in Abkhazia (1992–\n1993)\n,Abkhazia\nConfederation of\nMountain Peoples of\nthe Caucasus\nSupported by:\nRussia[c],Georgia,Georgian–\nAbkhazian conflict\nand the Georgian Civil\nWar,https://en.wikipedia.org/wiki/War_in_Abkhazia_(1992%E2%80%931993),https://en.wikipedia.org/wiki/War_in_Abkhazia_(1992%E2%80%931993)
1992,1992,East Prigorodny\nconflict\n,North Ossetia\nRussian\nFederation,Ingush rebels,post-Soviet\nconflicts and the Wars\nin the Caucasus,https://en.wikipedia.org/wiki/East_Prigorodny_conflict,https://en.wikipedia.org/wiki/East_Prigorodny_conflict
1993,1994[97],Republic of the Congo\nCivil War (1993–1994),Republic of the\nCongo\nCocoye Militia,Cobra Militia\nNinja Militia,,https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1993%E2%80%931994),https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1993%E2%80%931994)
1993,1993,1993 Russian\nconstitutional crisis\n,Presidential\nforces:\nMain\nAdministration of\nProtection,Parliamentary forces:\nCongress of People's Deputies\nSupreme Soviet,conflicts in the\nformer Soviet Union,https://en.wikipedia.org/wiki/1993_Russian_constitutional_crisis,https://en.wikipedia.org/wiki/1993_Russian_constitutional_crisis
,,,Ministry of the\nInterior\nMinistry of Defence\nKantemir\nDivision\nTaman Division\nPro-Yeltsin\ndemonstrators and\norganizations\nFederalists and\nanti-communists\nDiplomatic support:\n[98][99]\nPoland\nCzech Republic\nRomania\nSlovakia\nHungary\nBulgaria\nEstonia\nLatvia\nLithuania\nMoldova\nUkraine\nGeorgia\nArmenia\nAzerbaijan\nKazakhstan\nKyrgyzstan\nUzbekistan\nTajikistan\nAustralia\nCanada\nGermany\nIndia\nIsrael\nItaly\nJapan\nSouth Korea\nNew Zealand\nUnited Kingdom\nUnited States\nEuropean Economic\nCommunity\nNATO,Anti-Yeltsin opposition:\nNational Salvation Front\nRussian National Unity\nLabour Russia\nOther opposition forces[note 1]\nSupport:\nTransnistria[d][100],,,
1993,2005,Burundian Civil War\n,"Burundi\nArmed forces\nGuardians of the Peace\n""Abajeunes""\nSupported by:\nRPF (Rwanda)\nInternational\npeacekeepers:\nAMIB (2003–04)\nONUB (from 2004)","Ethnic Hutu rebels:\nCNDD-FDD\nPALIPEHUTU-FNL[e]\nFROLINA\nHutu militias and youth\ngangs:\nInziraguhemuka\nIntagoheka\n""Chicago Bulls""\nALiR[102]\nFDLR[103]\nMai-Mai[103]\nSupported by:\nZaire (until 1996)\nTanzania\nDR Congo (2000s)[104]\nTutsi militants:\nBurundian military factions\nSans Echec\nSans Défaite\nSans Pitié\nSans Capote","spillovers of the\nRwandan genocide, First\nand Second Congo Wars",https://en.wikipedia.org/wiki/Burundian_Civil_War,https://en.wikipedia.org/wiki/Rwandan_genocide
,,,,Imbogaraburundi\nPA-Amasekanya\nSupported by:\nRPF (Rwanda),,,
1993,Ongoing,Maoist insurgency in\nBangladesh\nPart of Terrorism in\nBangladesh,Bangladesh,PBCP\nPBCP–J\nPBCP–LP\nPBCP–ML\nNew PBCP\nGMF\nPBSP\nPBSP (CC)\nPBSP–MBRM\nBCP\nNew BCP\nJamaat-ul-Mujahideen\nBangladesh\nJagrata Muslim Janata\nBangladesh[105],,https://en.wikipedia.org/wiki/Maoist_insurgency_in_Bangladesh,https://en.wikipedia.org/wiki/Maoist_insurgency_in_Bangladesh
1993,Ongoing,Insurgency in Ecuador,Ecuador,GCP\nPCE-SR\nELA\nFARE\nCAR (2005–2008)\nFARC dissidents (from\n2018),,https://en.wikipedia.org/wiki/Insurgency_in_Ecuador,
1994,2020,Chiapas conflict,Mexico\nPaz y Justicia\nUnited States\nGuatemala\nSinaloa Cartel\nGulf Cartel\nJalisco New\nGeneration Cartel\nLos Zetas\nJuárez Cartel[106],Zapatista Army of National\nLiberation (EZLN)\nPopular Revolutionary\nArmy[107]\nSupported by:\nVenezuela (1999–2013)[108],,https://en.wikipedia.org/wiki/Chiapas_conflict,
