Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1928,1935,"Persian conquest of West
Baluchistan[85][86][87][88]",Sublime State of Persia,West Baluchistan,,https://en.wikipedia.org/wiki/Persian_conquest_of_West_Baluchistan?action=edit&redlink=1,https://en.wikipedia.org/wiki/Persian_conquest_of_West_Baluchistan?action=edit&redlink=1
1928,1932,Hamed bin Rafda's rebellion,Ibn Saud,Rebels loyal to Hamed bin Rafda,,https://en.wikipedia.org/wiki/Hamed_bin_Rafda's_rebellion?action=edit&redlink=1,
1928,1928,"Haji Abdul Rahman Limbong's
rebellion","British Empire
North Borneo",Rebels,,https://en.wikipedia.org/wiki/Haji_Abdul_Rahman_Limbong,
1928,1929,Afghan Civil War (1928–1929),"Amānullāh Khān
(Until 14 January 1929)
Inayatullah Khan
(14–17 January 1929)
Ali Ahmad Khan
(17 January – 9 February 1929)
Various anti-Saqqawist tribes
Wardak","Shinwari tribesmen
(14 November–December 1928)
Saqqawists
(November 1928 – 17 January 1929)
Emirate of Afghanistan
(18 January – 13 October 1929)
In cooperation with:",,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929),
,,,"Maydan
Jalriz
Sanglakh
Mohammed Nādir Khān
(March–October 1929)
Intervening against
Basmachi:
Soviet Union[89]","Basmachi
(1929)",,,
1928,1931,Kongo-Wara rebellion,France,Gbaya rebels,,https://en.wikipedia.org/wiki/Kongo-Wara_rebellion,
1929,1931,Kazakh revolts (1929–1931),Soviet Union,Kazakh Rebels,,https://en.wikipedia.org/wiki/Kazakh_revolts_(1929%E2%80%931931)?action=edit&redlink=1,
1929,1929,Escobar Rebellion,Mexico,Escobar rebels,,https://en.wikipedia.org/wiki/Escobar_Rebellion,
1929,1929,"1929 Basmachi border raids on
the Soviet Union",Soviet Union,Basmachi,,https://en.wikipedia.org/wiki/Basmachi_movement#Cross-border_operations_in_northern_Afghanistan,https://en.wikipedia.org/wiki/Basmachi_movement#Cross-border_operations_in_northern_Afghanistan
1929,1929,"Chiang-Gui War
",Republic of China,New Guangxi Clique,Warlord Era,https://en.wikipedia.org/wiki/Chiang-Gui_War,https://en.wikipedia.org/wiki/Warlord_Era
1929,1929,"Afghan campaign of the Red
Army (1929)",Soviet Union,Basmachi,,https://en.wikipedia.org/wiki/Afghan_campaign_of_the_Red_Army_(1929),https://en.wikipedia.org/wiki/Afghan_campaign_of_the_Red_Army_(1929)
1929,1929,Sino-Soviet conflict (1929),Soviet Union,Republic of China,,https://en.wikipedia.org/wiki/Sino-Soviet_conflict_(1929),
1929,1930,Alakat Uprising,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Alakat_Uprising?action=edit&redlink=1,
1929,1929,1929 Kurdish rebellions[83],Turkey,Kurdish rebels,,https://en.wikipedia.org/wiki/1929_Kurdish_rebellions?action=edit&redlink=1,
1929,1931,"Anti-Saqqawist campaigns in
Kuhdaman and Herat",Kingdom of Afghanistan,Saqqawists,,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929)#Aftermath,https://en.wikipedia.org/wiki/Afghan_Civil_War_(1928%E2%80%931929)#Aftermath
1929,1930,Women's War,"Igbo Women of Owerri and
Calabar Provinces","Warrant Chiefs
British Colonial Forces",,https://en.wikipedia.org/wiki/Women's_War,
1929,1929,Antananarivo uprising[7],"France
Colony of Madagascar
and Dependencies",Rebels,,https://en.wikipedia.org/wiki/Antananarivo_uprising?action=edit&redlink=1,
1929,1929,Persian tribal uprisings of 1929,Sublime State of Persia,"Qashqai, Khamseh, Buyir Ahmadi
and Bakhtiari rebels",,https://en.wikipedia.org/wiki/Persian_tribal_uprisings_of_1929,
1929,1929,Nejd Civil War[90],"Kingdom of Hejaz and
Nejd",Rebels,,https://en.wikipedia.org/wiki/Nejd_Civil_War?action=edit&redlink=1,
1929,1930,"Central Plains War
","Forces of Chiang Kai-
shek","Forces of the coalition of Yan
Xishan, Feng Yuxiang, Wang
Jingwei, and Li Zongren",Warlord Era,https://en.wikipedia.org/wiki/Central_Plains_War,https://en.wikipedia.org/wiki/Warlord_Era
Start,Finish,Name of Conflict,Belligerents,,,,
,,,"Victorious party (if
applicable)",Defeated party (if applicable),,,
1930,1930,Shinwari rebellion,Kingdom of Afghanistan,Shinwari tribesmen,,https://en.wikipedia.org/wiki/Shinwari_rebellion,
1930,1930,1930 Kurdish rebellions[83],Turkey,Kurdish rebels,,https://en.wikipedia.org/wiki/1930_Kurdish_rebellions?action=edit&redlink=1,
1930,1931,Afridi Redshirt Rebellion,British Empire,Afridi tribesmen,,"https://en.wikipedia.org/wiki/Afridi_Redshirt_Rebellion,_Indian_North_West_Frontier_1930%E2%80%931931",
