Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1950,1954,"Puerto Rican Nationalist
Party revolts of the 1950s","United States
Puerto Rico National
Guard","Puerto Rican
Nationalist Party
Cadets of the Republic",,https://en.wikipedia.org/wiki/Puerto_Rican_Nationalist_Party_revolts_of_the_1950s,https://en.wikipedia.org/wiki/Puerto_Rican_Nationalist_Party_revolts_of_the_1950s
1950s,1960s,"Reprisal operations (Israel)
",Israel,"All-Palestine
Palestinian fedayeen
Supported by:
Kingdom of Egypt
(1950–1953)
Egypt (1953–1958)
Egypt (UAR) (1958–
1970)
Jordan
Syria","Palestinian
Fedayeen insurgency
(during the Arab–Israeli
conflict)",https://en.wikipedia.org/wiki/Reprisal_operations_(Israel),https://en.wikipedia.org/wiki/Palestinian_Fedayeen_insurgency
1951,1951,Manhattan Rebellion,Phibun's Government,Group of naval officers,,https://en.wikipedia.org/wiki/Manhattan_Rebellion,
1952,1955,Buraimi dispute,"Trucial Emirates
Emirate of Abu Dhabi
British Empire
Supported by
Sultanate of Muscat
and Oman
Aden Protectorate","Saudi Arabia
Supported by
Al Bu Shamis tribe
Na'im tribe",,https://en.wikipedia.org/wiki/Buraimi_dispute,
1952,1952,1952 Hazara Rebellion[28],Afghanistan,Rebels,,https://en.wikipedia.org/wiki/1952_Hazara_Rebellion?action=edit&redlink=1,
,,,,,,,
1952,1952,"Egyptian revolution of
1952
Part of the
decolonisation of Africa
and Asia, the Cold War,
and the Arab Cold War","Free Officers
Movement
Supported by:
United States[29][30]","Kingdom of Egypt
Supported by:
United Kingdom",,https://en.wikipedia.org/wiki/Egyptian_revolution_of_1952,https://en.wikipedia.org/wiki/Egyptian_revolution_of_1952
1952,1960,"Mau Mau rebellion
","United Kingdom
Kenya
Uganda
Southern Rhodesia","Mau Mau rebels[k]
Kenya Land and Freedom
Army
Maasai Bands (from
1954)[32]","decolonisation of
Africa",https://en.wikipedia.org/wiki/Mau_Mau_rebellion,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1953,1953,"Air battle over Merklín
",Czechoslovakia,United States,Cold War,https://en.wikipedia.org/wiki/Air_battle_over_Merkl%C3%ADn,https://en.wikipedia.org/wiki/Cold_War
1953,1953,"1953 Plzeň uprising
",Czechoslovakia,Demonstrators,Cold War,https://en.wikipedia.org/wiki/1953_Plze%C5%88_uprising,https://en.wikipedia.org/wiki/Cold_War
