Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1976,1982,"Islamist uprising in Syria
","Syria
Supported by:
Soviet Union[433][434]","Fighting Vanguard[435][436]
Muslim Brotherhood (after mid-
1979)[437][438]
Pro-Iraqi Ba'athists[439]
Supported by:
Ba'athist Iraq (1980–1982)
Jordan[440][441]
West Germany[442]","Arab Cold War and
Assadist–Saddamist conflict",https://en.wikipedia.org/wiki/Islamist_uprising_in_Syria,https://en.wikipedia.org/wiki/Arab_Cold_War
1976,2005,Insurgency in Aceh,"Indonesia
Indonesian National Armed Forces
Indonesian National Police",Free Aceh Movement,,https://en.wikipedia.org/wiki/Insurgency_in_Aceh,
,,,,,,,
1976,Ongoing,Corsican conflict,"France
French Armed Forces (1 barracks on
Corsica)
National Gendarmerie
National Police
Municipal Police
Anti-separatist paramilitaries
Front d'Action Nouvelle Contre
l'Indépendance et l'Autonomie[443]
Criminal groups
Corsican mafia","Corsican Separatist Paramilitaries
National Liberation Front of
Corsica (FLNC)
FLNC-Canal Historique (FLNC-
CS) (1988–1998)
FLNC-Canal Habituel (FLNC-
CA) (1988–1997)
Resistenza (1989–2003)
Fronte Ribellu (1996–1999)
FLNC-5 Maghju (FLNC-5M)
(1996–1999)
Armata Corsa (AC) (1999–2001)
FLNC-Unione di i Cumbattenti
(FLNC-UC) (1999–present)
FLNC-22 Uttrovi (FLNC-22U)
(2002–present)
Armata di U Populu Corsu (APC)
(2004–2006)
FLNC-5 Maghju 1976 (FLNC-
1976) (2007–present)
FLNC-21 Maghju (FLNC-21M)
(2021–present)
Other small groups",,https://en.wikipedia.org/wiki/Corsican_conflict,
1968,1980,"Political violence in Turkey (1976–
1980)
","Nationalist Right-wing groups:
Grey Wolves (MHP)
Turkish Revenge Brigade
Turkish mafia[444]
TÜRK-İŞ
MİSK (MHP)
Islamist Right-wing groups:
Raiders Organization (MSP)
Turkish National Student Union
---- Centre-right groups: Justice Party
Republican Reliance Party
Supported by:
Counter-Guerrilla","Far-left groups:
DEV-GENÇ
TİİKP
TKP/ML (TİKKO)
THKO
DEV-YOL
THKP-C/MLSPB
THKP-C
Progressive Youth Association (TKP)
DİSK
Liberation Movement
People's Path
DEV-SOL
Left-wing groups: Workers' Party
of Turkey
Unity Party
Centre-left groups: Republican
People's Party",Cold War,https://en.wikipedia.org/wiki/Political_violence_in_Turkey_(1976%E2%80%931980),https://en.wikipedia.org/wiki/Political_violence_in_Turkey_(1976%E2%80%931980)
1977,1977,1977 Shia uprising in Iraq[445],Ba'athist Iraq,Iraqi rebels,,https://en.wikipedia.org/wiki/1977_Shia_uprising_in_Iraq,
1977,1992,"Mozambican Civil War
","Mozambique (People's Republic
until 1990)
FRELIMO
UNAMO (1988–1992)[446]
ZANU (until 1979)
Zimbabwe (from 1980)
Soviet Union","RENAMO
PRM (merged with RENAMO in
1982)
UNAMO (1987–1988)[446]
COREMO[448]
UNIPOMO[449]
FUMO[449]
Rhodesia (until 1979)[450]","aftermath of the
Mozambican War of Independence,
and the Cold War",https://en.wikipedia.org/wiki/Mozambican_Civil_War,https://en.wikipedia.org/wiki/Mozambican_War_of_Independence
,,,"Tanzania
Malawi (from 1987)[447]","Ex-Flechas[449]
South Africa (from 1978)[451]",,,
1977,1977,"Shaba I
","Zaire
Morocco
Egypt
France
Belgium
Supported by:
United States
Saudi Arabia
Sudan[452]
Nigeria[453][454]","Congolese National Liberation
Front (FNLC) Supported by:
Angola
Cuba
Soviet Union
East Germany[455]","Shaba Invasions and the
Cold War",https://en.wikipedia.org/wiki/Shaba_I,https://en.wikipedia.org/wiki/Shaba_Invasions
1977,1978,"Ogaden War
","Ethiopia
Cuba
Soviet Union[456]
South Yemen[457]","Somalia
WSLF","Ethiopian Civil War, the
Ethiopian–Somali conflict, and the
Cold War",https://en.wikipedia.org/wiki/Ogaden_War,https://en.wikipedia.org/wiki/Ethiopian_Civil_War
1977,1977,"Egyptian–Libyan War
",Egypt,Libya,Arab Cold War,https://en.wikipedia.org/wiki/Egyptian%E2%80%93Libyan_War,https://en.wikipedia.org/wiki/Arab_Cold_War
1977,Ongoing,"Chittagong Hill Tracts conflict
","First phase (1977–1997):
Bangladesh
Second phase (2022–present):
Bangladesh
PCJSS-MN Larma
UPDF-D","First phase (1977–1997):
Parbatya Chattagram Jana Samhati
Samiti
Logistical support:
India[458]
Second phase (2022–present):
PCJSS
UPDF
Second phase (2022–present):
Kuki-Chin National Front","Cold War and Terrorism in
Bangladesh",https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict,https://en.wikipedia.org/wiki/Cold_War
1978,1979,"Iranian Revolution
Part of Constitutionalization attempts
in Iran and the Cold War","Revolutionary Council
Islamist Opposition
Combatant Clergy Association
Islamic Association of Students
Islamic Association of Teachers
Islamic Association of Engineers
Islamic Association of Physicians
Islamic Coalition Societies
Fada'iyan-e Islam
Mojahedin
Liberal Democratic Opposition
Freedom Movement of Iran
National Front
JAMA
Democratic Party of Iranian Kurdistan
Confederation of Iranian Students
Leftist Opposition
Mojahedin-e-Khalq
Fadaiyan-e-Khalq
Tudeh Party
Sarbedaran
Peykar
Movement of Militant Muslims
Razmandegan
Worker's Way
Komalah","Imperial State of Iran
Pro-Shah Groups
Regency Council[ab]
Rastakhiz Party (until 1 November
1978)
Imperial Army[ac]
Imperial Guard
SAVAK
Shahrbani
Gendarmerie",,https://en.wikipedia.org/wiki/Iranian_Revolution,https://en.wikipedia.org/wiki/Constitutionalization_attempts_in_Iran
,,,Union of Communist Militants,,,,
1978,1987,"Chadian–Libyan War
","Anti-Libyan Chadian factions
FAT (1978–1979)
FAN (1978–1983)
FANT (1983–1987)
GUNT (1986–1987)
France
Inter-African Force
Zaire
Nigeria
Senegal
NFSL
Supported by:
DR Sudan (1978–1985)[459]
Sudan (1985–1987)[459]
Egypt (1977–1981)[459]
Israel[460]
Iraq[461]
Algeria (pre-reapproachment)[462]
United States[463]","Libya
Islamic Legion[459]
Pro-Libyan Chadian factions
FROLINAT
GUNT (1979–1986)
Codos (1983–1986)
FAP (1978–1986)
Pro-Libyan Palestinian and
Lebanese groups[464]
PLO (1987)[465][466]
Abu Nidal Organization[464]
Supported by:
Algeria[462]
East Germany
Soviet Union","Cold War and the Arab
Cold War",https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_War,https://en.wikipedia.org/wiki/Cold_War
1978,1978,"1978 South Lebanon conflict
","Israel
SLA",PLO,"Palestinian insurgency in
South Lebanon, the Lebanese Civil
War, and the Israeli–Lebanese
conflict",https://en.wikipedia.org/wiki/1978_South_Lebanon_conflict,https://en.wikipedia.org/wiki/Palestinian_insurgency_in_South_Lebanon
1978,1978,"Saur Revolution
","People's Democratic Party of
Afghanistan",Republic of Afghanistan,"Cold War and the Afghan
conflict",https://en.wikipedia.org/wiki/Saur_Revolution,https://en.wikipedia.org/wiki/Cold_War
1978,1978,"Shaba II
","Zaire
France
Belgium
Morocco
United States",FNLC,"Shaba Invasions and the
Cold War",https://en.wikipedia.org/wiki/Shaba_II,https://en.wikipedia.org/wiki/Shaba_Invasions
1978,1979,Uganda–Tanzania War,"Tanzania
Uganda National Liberation Front
Kikosi Maalum
Front for National Salvation
Save Uganda Movement
Others
Mozambique
Supported by:
Zambia
Angola
Ethiopia
Algeria","Uganda
Libya
Palestine Liberation
Organization
Supported by:
Pakistan
Saudi Arabia",,https://en.wikipedia.org/wiki/Uganda%E2%80%93Tanzania_War,
1978,2025,"Kurdistan Workers' Party insurgency
","Turkey
Ministry of National Defense
General Staff
Special Forces Command
TAF
Turkish Air Force
Turkish Land Forces
Turkish Naval Forces
Ministry of Interior
Turkish National Police
Police Special Operations
Gendarmerie General Command
JİTEM (until early 1990s)
JÖH
Village Guards[467][468]
National Intelligence Organization
Other forces:
Counter-Guerrilla (until 1992)
Grey Wolves (not militarily involved)[469]
Turkish Revenge Brigade (not militarily
involved)[470][471][472]
Some Kurdish tribes (incorporated into
Village Guards in 1985)[473][474]","Kurdistan Communities Union
PKK (until 2025)
HPG
YJA-STAR
YDG-H:
YPS
YPS-Jin
SDF
YPG[475][476][477][478][479][480]
YPG International
YPJ
Anti-Terror Units
PJAK
YRK
HPJ
Sinjar Alliance
Êzîdxan Women's Units
Sinjar Resistance Units
HBDH
DKP
MKP-HKO-PHG
MLKP
THKP-C/MLSPB-DC
TKEP/L
TKP/ML[481]","Kurdish–Turkish
conflict",https://en.wikipedia.org/wiki/Kurdistan_Workers'_Party_insurgency,https://en.wikipedia.org/wiki/Kurdish%E2%80%93Turkish_conflict
,,,,"DK (until 2017)[note 3]
International Freedom Battalion
Kurdish Hezbollah (1983–1991;
1998–
2002)[482][483][484][485][486][487]
TAK",,,
1978,1989,"Cambodian–Vietnamese War
","Vietnam
FUNSK (from 1978)
Post-invasion:
Until April 1989:
Vietnam
People's Republic of Kampuchea
Cuba (reconstruction experts)
From April 1989:
State of Cambodia","Democratic Kampuchea
(1977–1982)
Thailand (border clashes)
Post-invasion:
Coalition Government of
Democratic Kampuchea (1982–
1990)
Khmer Rouge
KPNLF
FUNCINPEC
Thailand (border clashes)[488]","Third Indochina
War, the Cold War in Asia, and
the Sino-Soviet split",https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War,https://en.wikipedia.org/wiki/Third_Indochina_War
1978,1982,"NDF Rebellion
","North Yemen
Islamic Front
Supported by:
Republic of China
United States","NDF
Supported by:
South Yemen
Libya","Cold War and the Arab
Cold War",https://en.wikipedia.org/wiki/NDF_Rebellion,https://en.wikipedia.org/wiki/Cold_War
1979,1979,"1979 Khuzestan insurgency
","Interim Government
Islamic Republic of Iran (From 6
November)","DRFLA
APCO
PFLA
AFLA
Supported by:
Iraq[489]","Consolidation of the
Iranian Revolution and Arab
separatism in Khuzestan",https://en.wikipedia.org/wiki/1979_Khuzestan_insurgency,https://en.wikipedia.org/wiki/Consolidation_of_the_Iranian_Revolution
1979,1979,"Sino-Vietnamese War
",China,Vietnam,"Third Indochina War, the
Sino-Soviet split and the Cold War in
Asia",https://en.wikipedia.org/wiki/Sino-Vietnamese_War,https://en.wikipedia.org/wiki/Third_Indochina_War
1979,1991,"Sino-Vietnamese conflicts (1979–
1991)
",China,Vietnam,"Third Indochina War, the
Sino-Soviet Split and the Cold War in
Asia",https://en.wikipedia.org/wiki/Sino-Vietnamese_conflicts_(1979%E2%80%931991),https://en.wikipedia.org/wiki/Sino-Vietnamese_conflicts_(1979%E2%80%931991)
1979,1979,"Yemenite War of 1979
",North Yemen,South Yemen,"Cold War and the Arab
Cold War",https://en.wikipedia.org/wiki/Yemenite_War_of_1979,https://en.wikipedia.org/wiki/Cold_War
1979,1996,"1979 Kurdish rebellion in Iran
Part of Consolidation of the
Iranian Revolution, Iran–Iraq
War, and Kurdish separatism in
Iran","Interim Government
Islamic Republic of Iran (1980−83)","KDP-I
Komala
IPFG
OIPFG (Minority)[490][491]
Sipay Rizgari
Supported by: Iraq[492]",,https://en.wikipedia.org/wiki/1979_Kurdish_rebellion_in_Iran,https://en.wikipedia.org/wiki/Consolidation_of_the_Iranian_Revolution
1979,1979,"1979 Herat uprising
","Afghanistan
Afghan Army
Afghan Air Force","Jamiat-e Islami
Iran[493]","1979 uprisings in
Afghanistan",https://en.wikipedia.org/wiki/1979_Herat_uprising,https://en.wikipedia.org/wiki/1979_uprisings_in_Afghanistan
1979,1980,Al-Ansar insurgency,Ba'athist Iraq,Shi'ite rebels,,https://en.wikipedia.org/wiki/Al-Ansar_(Iraq),
1979,1980,1979–1980 Shia uprising in Iraq,Iraq,Shiite rebels,,https://en.wikipedia.org/wiki/1979%E2%80%931980_Shia_uprising_in_Iraq,
,,,,,,,
1979,1979,Grand Mosque seizure,"Saudi Arabia
Supported by:
France[494][495][496][497]",Ikhwan[498],,https://en.wikipedia.org/wiki/Grand_Mosque_seizure,
1979[ad],1992,"Salvadoran Civil War
","Salvadoran government (Revolutionary
Government Junta until 1982)
Paramilitary death squads
Foreign mercenaries (unknown number,
possibly hundreds)
Supported by:
United States","FMLN (CRM, FDR)
FPL (BPR)
ERP (LP-28)
RN (FARN, FAPU)
PRTC (MLP)
PCES (UDN)
Supported by:
Soviet Union
Cuba
Ethiopia[510]
Nicaragua","Central American crisis
and the Cold War",https://en.wikipedia.org/wiki/Salvadoran_Civil_War,https://en.wikipedia.org/wiki/Central_American_crisis
1979,1989,"Soviet–Afghan War
",Afghan mujahideen,"Soviet Union
Afghanistan","Cold War and the
Afghan conflict",https://en.wikipedia.org/wiki/Soviet%E2%80%93Afghan_War,https://en.wikipedia.org/wiki/Cold_War
Started,Ended,Name of conflict,Belligerents,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,
1980,1980,"1980 Gafsa Uprising
","Tunisia
Supported by:
United States
Sixth Fleet[511]
France
Morocco","Arab Nationalist Rebels
Supported by:
Libya
Algeria[512]",Cold War and the Arab Cold War,https://en.wikipedia.org/wiki/1980_Gafsa_Uprising,https://en.wikipedia.org/wiki/Cold_War
1980,2000,"Internal conflict in Peru
","Government of Peru
Supported by:
Rondas campesinas[note 4]
ASPRET (since 2023)
International support:
China
Colombia[515]
Cuba
Japan
North Korea[516]
Russia[517][518]
Soviet Union[517]
Spain[519]
United States[520][521]","Shining Path (PCP-SL)
CBMR (since 2001)
CRH (2004–2012)
FARC dissidents
Supported by:
FUDEPP (since 2014)
Hezbollah (since 2016)
ICL (since 2022)
Libya (until 2011)[522]
ANO (1988)
FARC-EP (until 2016)
MOVADEF (2009–2024)
RIM (1984–2012)
MPCP[note 5]
Supported by:
China (self-claim)[524]
ASPRET (until 2022)
Ethnocacerists
Supported by:
ASPRET (2011–2022)
Hezbollah
MPCP (until 2022)
FAR-EPT[note 6]
MRTA (1982–1997)
Supported by:
Cuba[526] (denied)
Libya[526]
Soviet Union[526]
FMLN[527]
M-19[528]
FSLN[529][526]","Cold War (1980–1991) and the war on
drugs (1980–present)",https://en.wikipedia.org/wiki/Internal_conflict_in_Peru,https://en.wikipedia.org/wiki/Cold_War
1980,1980,"Gwangju Uprising
","South Korean Government
Hanahoe
DSC
ROK Army
National Police","Gwangju citizenry
Protesters
Armed citizens
Citizens' Settlement Committee
Students' Settlement Committee",Minjung movement,https://en.wikipedia.org/wiki/Gwangju_Uprising,https://en.wikipedia.org/wiki/Minjung
1980,1980,"Nojeh coup plot
","Islamic Republic of Iran
Government of Islamic Republic of
Iran
Cabinet of Rajai
Revolutionary Council
Mojahedin of the Islamic
Revolution Organization[530]
Intelligence aid:
Tudeh Party (alleged)","Azadegan Organization
Neqab Organisation
Iran Patriotic Officers (NUPA)
Supported by:
Iraq (alleged)",Consolidation of the Iranian Revolution,https://en.wikipedia.org/wiki/Nojeh_coup_plot,https://en.wikipedia.org/wiki/Consolidation_of_the_Iranian_Revolution
,,,,,,,
1980,1980,Coconut War,"Vanuatu
Papua New Guinea
Solomon Islands
United Kingdom
France","Nagriamel rebels
Support:
Phoenix Foundation",,https://en.wikipedia.org/wiki/Coconut_War,
1980,1988,"Iran–Iraq War
","Iran
KDP
PUK
ISCI
Islamic Dawa Party
Hezbollah[531]
Shia volunteers[ae]","Iraq
DRFLA[538][539]
MEK
NCRI
PDKI[540]
Salvation Force[541]
Arab volunteers[af]","Cold War, the aftermath of the Iranian
revolution, the Iraqi–Kurdish conflict, and the Iran–
Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,https://en.wikipedia.org/wiki/Cold_War
1980,1986,"Ugandan Bush War
","National Resistance
Movement (NRM)
PRA
UFF
West Nile rebels:
Uganda Army (1980)[550]
UNRF (I) (1980–85)[550]
FUNA (1980–85)[550]
Nile Regiment[551]
UFM (1980–83)
FEDEMU (1983–85)[552]
ULM[553]
UNLF-AD[554]
Rwenzururu movement (until
1982)
Karamojong groups","Ugandan government
UNLF/UPC
FEDEMU (from 1985)
FUNA (from 1985)
UNRF (I) (from 1985)
UFM (from 1985)
Tanzania (until 1985)
North Korea (1981–1985)
Zaire (1986, alleged)[555]",Cold War,https://en.wikipedia.org/wiki/Ugandan_Bush_War,https://en.wikipedia.org/wiki/Cold_War
1981,1981,"Paquisha War
",Peru,Ecuador,Ecuadorian–Peruvian conflicts,https://en.wikipedia.org/wiki/Paquisha_War,https://en.wikipedia.org/wiki/History_of_the_Ecuadorian%E2%80%93Peruvian_territorial_dispute
1981,1981,"1981 Entumbane uprising
",Zimbabwe,"ZIPRA elements
ZANLA elements",aftermath of the Rhodesian Bush War,https://en.wikipedia.org/wiki/1981_Entumbane_uprising,https://en.wikipedia.org/wiki/Rhodesian_Bush_War
1981,1981,"1981 Gambian coup d'état attempt
","The Gambia
Senegal
Supported by:
United Kingdom","Gambia Socialist
Revolutionary Party",Cold War,https://en.wikipedia.org/wiki/1981_Gambian_coup_d'%C3%A9tat_attempt,https://en.wikipedia.org/wiki/Cold_War
1982,Ongoing,Casamance conflict,"Senegal
Guinea-Bissau (1998–
1999,[556] 2021[557])
Turkey (2021, alleged by
MFDC)","MFDC
Three main factions (Sadio,
Badiatte, and Diatta Groups)[558]
Various splinter factions[559]
Guinea-Bissau rebels
(1998–1999)[560]
Supported by:
Guinea-Bissau (2000s,
alleged)[557]
The Gambia (1994–2017)",,https://en.wikipedia.org/wiki/Casamance_conflict,
1982,1982,"1982 Amol uprising
",Iran,Union of Iranian Communists,consolidation of the Iranian Revolution,https://en.wikipedia.org/wiki/1982_Amol_uprising,https://en.wikipedia.org/wiki/Consolidation_of_the_Iranian_Revolution
1982,1982,"Falklands War
",United Kingdom,Argentina,Falkland Islands sovereignty dispute,https://en.wikipedia.org/wiki/Falklands_War,https://en.wikipedia.org/wiki/Falkland_Islands_sovereignty_dispute
1982,1982,Ndogboyosoi War,All People's Congress (APC),"Sierra Leone People's Party
(SLPP)",,https://en.wikipedia.org/wiki/Ndogboyosoi_War,
1982,1985,"1982 Lebanon War
","Israel
Lebanese Forces
South Lebanon Army","PLO
Syria
Others:
Lebanese National Resistance
Front
Al-Mourabitoun
PKK[561][562][563]","Palestinian insurgency in South
Lebanon, the Lebanese Civil War, and the
Israeli–Lebanese conflict",https://en.wikipedia.org/wiki/1982_Lebanon_War,https://en.wikipedia.org/wiki/Palestinian_insurgency_in_South_Lebanon
1982,1982,"1982 Ethiopian–Somali Border War
",Somalia,"Ethiopia
SSDF","Ethiopian–Somali conflict and the Somali
Rebellion",https://en.wikipedia.org/wiki/1982_Ethiopian%E2%80%93Somali_Border_War,https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Somali_conflict
1983,1983,Chadian–Nigerian War,Nigeria,Chad,,https://en.wikipedia.org/wiki/Chadian%E2%80%93Nigerian_War,
1983,2005,"Second Sudanese Civil War
","SPLA
SPLA-Mainstream[564]
SPLA-Agar
SPDF
ALF
Titweng[565]
SSLM
NDA
Sudanese Alliance Forces[566]
Anyanya II
Eastern Coalition
Derg (until 1987) [567]
PDR Ethiopia (1987–1991) [567]
FDR Ethiopia (1995–1998) [568]
Eritrea (1996–1998, 2002–
[569]
2005)
Uganda (from 1993) [570][571]
Non-combat aid:
Libya (1983–1985) [572][573]
Israel[574]
Cuba (until 1991) [575]","Sudan
Armed Forces
PDF
Army of Peace
Muraheleen
Ex-FAR and
Interahamwe[576]
SSDF
SPLA dissidents
SPLA-Nasir
SPLA-United[564]
SSIM/A
Nuer White Army
Ugandan insurgents:
LRA[577]
WNBF[578]
UNRF (II)[578]
Zaire (1994–1997) [579][580]
al-Qaeda (1991–
[581][568]
1996)
Iraq[ag]
China[ah]
Combat aid:
Libya (1986–1991)[585][586]
DR Congo (1998–2003)
Non-combat aid:
Iran[587]
Belarus (from 1996)[588][589]","Sudanese Civil Wars and the South
Sudanese wars of independence",https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,https://en.wikipedia.org/wiki/Sudanese_Civil_War
1983,2009,"Sri Lankan Civil War
","Sri Lanka
India (1987–1990)","Liberation Tigers of Tamil
Eelam
Other Tamil militant groups","Cold War, spillover into the 1987–1989
JVP insurrection",https://en.wikipedia.org/wiki/Sri_Lankan_civil_war,https://en.wikipedia.org/wiki/Cold_War
1983,1987,"Eelam War I
",Sri Lanka,"Liberation Tigers of Tamil
Eelam",Sri Lankan Civil War,https://en.wikipedia.org/wiki/Eelam_War_I,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war
1983,1986,"1983–1986 Kurdish rebellions in Iraq
",Iraq,"KDP
Supported by:
Iran
PUK
Kurdish mujahideen","Iraqi–Kurdish conflict and the Iran–Iraq
War",https://en.wikipedia.org/wiki/1983%E2%80%931986_Kurdish_rebellions_in_Iraq,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
,,,,,,,
1983,1983,"United States invasion of Grenada
","United States
Grenadian Opposition
Caribbean Peace Force:
Barbados
Jamaica
Organisation of Eastern Caribbean
States
Antigua and Barbuda
Dominica
Saint Kitts and Nevis
Saint Lucia
Saint Vincent and the
Grenadines","Grenada (PRG)
Cuba
Soviet Union",Cold War,https://en.wikipedia.org/wiki/United_States_invasion_of_Grenada,https://en.wikipedia.org/wiki/Cold_War
1984,2003,"Siachen conflict
",India,Pakistan,Kashmir conflict,https://en.wikipedia.org/wiki/Siachen_conflict,https://en.wikipedia.org/wiki/Kashmir_conflict
1982,2000,"South Lebanon conflict (1985–2000)
","Hezbollah
Amal
Lebanese Communist Party
Jammoul
PFLP–GC","Israel
South Lebanon Army","Israeli–Lebanese conflict, the Iran–Israel
proxy conflict, and the Israeli–Palestinian conflict",https://en.wikipedia.org/wiki/South_Lebanon_conflict_(1985%E2%80%932000),https://en.wikipedia.org/wiki/Israeli%E2%80%93Lebanese_conflict
1985,1985,Agacher Strip War,Mali,Burkina Faso,,https://en.wikipedia.org/wiki/Agacher_Strip_War,
1986,1986,"South Yemen Civil War
",al-Toghmah,al-Zomrah,Arab Cold War,https://en.wikipedia.org/wiki/South_Yemen_Civil_War,https://en.wikipedia.org/wiki/Arab_Cold_War
1986,1986,"1986 United States bombing of Libya
",United States,Libya,Cold War,https://en.wikipedia.org/wiki/1986_United_States_bombing_of_Libya,https://en.wikipedia.org/wiki/Cold_War
1986,1992,Surinamese Interior War,Surinamese National Army,"Jungle Commando
Tucayana Amazonas",,https://en.wikipedia.org/wiki/Surinamese_Interior_War,
1986,1987,Ciskei-Transkei conflict,Ciskei,"Transkei
Ciskei dissidents",,https://en.wikipedia.org/wiki/Ciskei#Ciskei%E2%80%93Transkei_hostilities_and_Operation_Katzen,
1986,1987,Sumdorong Chu standoff,India,China,,https://en.wikipedia.org/wiki/Sumdorong_Chu_standoff,
1987,1989,"1987–1989 JVP insurrection
","Sri Lanka
India
Pro-government paramilitaries:
Eagles of the Central Hills
Black Cats
...and at least 8 other minor groups
Anti-JVP leftist militias:
Peoples Revolutionary Red Army
Vikalpa Kandayama[590]","Janatha Vimukthi
Peramuna
Deshapremi Janatha Viyaparaya
Patriotic People's Armed
Troops",Cold War and Sri Lankan Civil War,https://en.wikipedia.org/wiki/1987%E2%80%931989_JVP_insurrection,https://en.wikipedia.org/wiki/Cold_War
1987,1989,War of the Tribes,"Tajammu al-Arabi
Sudan
Supported by:
Libya","Fur tribes
Supported by:
Chad",,https://en.wikipedia.org/wiki/War_of_the_Tribes,
1987,1991,"Singing Revolution
","Estonia
Popular Front of Estonia
Estonian Citizens' Committee
Congress of Estonia
Heritage Society
MRP-AEG
Estonian National Independence
Party
Estonian Social Democratic
Independence Party
Communist Party (pro-independence
faction)
Estonian Social Democratic Party","Soviet Union
Soviet Army
KGB
OMON
Interfront
Communist Party of
Lithuania (pro-Moscow faction)
Yedinstvo
Communist Party of Latvia
(pro-Moscow faction)","Revolutions of 1989 and the Dissolution
of the Soviet Union",https://en.wikipedia.org/wiki/Singing_Revolution,https://en.wikipedia.org/wiki/Revolutions_of_1989
,,,"Latvia
Popular Front of Latvia
Helsinki-86
Latvian National Independence
Movement
Citizens' Congress
Environmental Protection Club
Communist Party (pro-independence
faction)
Latvian Social Democratic Party
Lithuania
Sąjūdis
Lithuanian Liberty League
Communist Party (pro-independence
faction)
Democratic Labour Party of
Lithuania
Lithuanian Riflemen's Union","International Front of the
Working People of Latvia
Communist Party of Estonia
(pro-Moscow faction)
Intermovement",,,
1987,1993,"First Intifada
",Israel,"Al-Qiyada al-Muwhhada
Fatah
Popular Front for the
Liberation of Palestine
Democratic Front for the
Liberation of Palestine
Palestinian Communist
Party
Hamas
Palestinian Islamic Jihad",Israeli–Palestinian conflict,https://en.wikipedia.org/wiki/First_Intifada,https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict
1987,Ongoing,"Lord's Resistance Army insurgency
","Uganda
Zaire (until 1997)
DR Congo (from 1997)
Central African Republic (from
2008)
South Sudan
Arrow Boys
UFDR
MONUC[591]
Russia (since April 2024)
Wagner Group[592]
Supported by:
United States
(2011–2017)[593][594][595]
North Korea(until 1990s)","Lord's Resistance Army
Supported by:
Sudan (1994–2002)[596]
Allied Democratic Forces",Cold war (Until 1991),https://en.wikipedia.org/wiki/Lord's_Resistance_Army_insurgency,https://en.wikipedia.org/wiki/Cold_war
1988,1994,"First Nagorno-Karabakh War
","Nagorno-Karabakh[ai]
Armenia[aj]
Armenian Revolutionary
Federation
Foreign groups:
Kuban Cossacks[597]
Ossetian volunteers[598]
Slavic mercenaries[599]","Azerbaijan (from 1991)
Soviet Union (until 1991)[ak]
Azerbaijan SSR
Foreign groups:
Hezbe Wahdat[604]
Hezb-e-Islami[605]
Grey Wolves[606]
Chechen volunteers[607]
UNA-UNSO[608][609][610]
Slavic mercenaries[599]
Turkish volunteers[611][612]","Nagorno-Karabakh conflict, the
dissolution of the Soviet Union, and the Wars in the
Caucasus",https://en.wikipedia.org/wiki/First_Nagorno-Karabakh_War,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict
1988,1988,1988 Maldives coup d'état attempt,"India
Maldives","People's Liberation
Organisation of Tamil Eelam
Maldivian rebels","Indian
Intervention in the Sri Lankan civil war",https://en.wikipedia.org/wiki/Indian_intervention_in_the_Sri_Lankan_Civil_War,https://en.wikipedia.org/wiki/1988_Maldives_coup_d'%C3%A9tat_attempt
1988,1998,Bougainville conflict,"Bougainville Interim
Government (BIG)",Papua New Guinea,,https://en.wikipedia.org/wiki/Bougainville_conflict,
,,,"Bougainville Revolutionary Army
(BRA)
Supported by:
Solomon Islands
Fiji (alleged)","Buka Liberation Front
Bougainville Resistance Force
Supported by:
Australia
Indonesia[613]",,,
1989,1989,1989 Paraguayan coup d'état,1st Army Corps,Government of Paraguay,,https://en.wikipedia.org/wiki/1989_Paraguayan_coup_d'%C3%A9tat,
1989,1992,"Afghan Civil War (1989–1992)
","Afghan Interim Government[614]
Jamiat-e Islami
Hezb-e Islami Gulbuddin (until
July 1989)[614]
National Islamic Front of
Afghanistan
Ittehad-e Islami
Hezb-i Islami Khalis
Harakat-i Inqilab-i Islami[615]
Independent Factions:
Khalq (1990)[616]
Hezb-e Islami Gulbuddin (from July
1989)[614]
Junbish-i Milli (from 1992)
Foreign Mujahideen:
Al Qaeda[617]
Maktab al-Khidamat
Various factions also fought among each
other
Supported by:
Pakistan
United States
Saudi Arabia
United Kingdom
China
Germany
Iran","Republic of Afghanistan
Supported by:
Soviet Union (until 1991)
India
Commonwealth of Independent
States (from 1991)[618]
Tajikistan
Turkmenistan
Uzbekistan
Russia (until January 1992)","Cold War, Revolutions of 1989,
Dissolution of the Soviet Union, and Afghan conflict",https://en.wikipedia.org/wiki/Afghan_Civil_War_(1989%E2%80%931992),https://en.wikipedia.org/wiki/Cold_War
