Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
2009,Ongoing,"Boko Haram insurgency
","Nigeria
Multinational Joint Task
Force[3][4][5][6]
Local militias and
vigilantes[7][8][9][10] [11]
Foreign mercenaries[12][13]
Sultan Murad
Division (from
2024)[14][15]
Supported by:
United States[16][17]
Russia[18]
China[19]
France[19]
United Kingdom[19][20]
African Union[21][22]
Turkey[23][24]
Pakistan[25][26]
Canada[27]
Egypt[28][29]
Israel[30]
European Union[31]
Colombia[32][33]
Belarus[34]","Boko Haram (2009-2015)
Ansaru (2009-2012)
Islamic State
Boko Haram (2015-2016)
ISWAP (2016–present,
originally Barnawi faction of Boko
Haram)[35][36]
ISSP
Lakurawa (2016–
present)[37]
al-Qaeda[38]
Ansaru (2012–present)[ab]
Supported by:
Al-Shabaab[43]
AQIM[44][45]
Boko Haram (2016–
present)[ac]
Shekau faction[49][50]
Several minor factions[46]","religious violence in Nigeria, the war against
the Islamic State, the Islamist insurgency in the Sahel,
and the war on terror[2]",https://en.wikipedia.org/wiki/Boko_Haram_insurgency,https://en.wikipedia.org/wiki/Religious_violence_in_Nigeria,486156.0
,,,,,,,,
2009,2009,"2009 Boko Haram uprising
",Nigerian Government,Boko Haram,Boko Haram insurgency,https://en.wikipedia.org/wiki/2009_Boko_Haram_uprising,https://en.wikipedia.org/wiki/Boko_Haram_insurgency,46866.0
2009,2026,"South Yemen insurgency
","Government
Yemen Army
Yemeni Republican
Guard
Yemeni Air Force
Yemen Paramilitary
Pro-government tribes
Al-Islah militias
Supported by:
Saudi Arabia","Southern Transitional
Council (since 2017)
Southern Movement
Southern Resistance
Security Belt
Supported by:
United Arab Emirates","Yemeni Crisis (2011–present) and the
Yemeni civil war (2014–present)",https://en.wikipedia.org/wiki/South_Yemen_insurgency,https://en.wikipedia.org/wiki/Yemeni_Crisis_(2011%E2%80%93present),46527.0
2009,2010,"Operation Scorched Earth
","Yemen
Hashed tribesmen
Saudi Arabia
Alleged support:
Morocco
Jordan","Houthis
Alleged support:
Iran
Quds Force
Hezbollah","Houthi insurgency in Yemen and Iran–Saudi
Arabia proxy conflict",https://en.wikipedia.org/wiki/Operation_Scorched_Earth,https://en.wikipedia.org/wiki/Houthi_insurgency_in_Yemen,26458.0
2009,2009,Dongo conflict,"Democratic Republic of
the Congo
Supported by:
MONUC
Rwanda (alleged)","Lobala rebels
Possibly:
Resistance Patriots of Dongo",,https://en.wikipedia.org/wiki/Dongo_conflict,,17829.0
Started,Ended,Name of conflict,Belligerents,,,,,
,,,Victorious party (if applicable),Defeat,,,,
2010,2010,"2010 South Kyrgyzstan ethnic clashes
","Kyrgyz provisional
government
Supported by:
Turkmenistan
Iran
Kazakhstan[51]
China[52]
Russia[53]
Turkey","Kyrgyzstan
Pro-Bak
Other pro
Tajik co
Tajik
Rus
Other m
Uzbekista
Sokh U
Sogme
Isla
Uzbekista
Kyrgyzsta
Pro-pro
civilians
Uzbekista
Sokh U
Sogme
U
involv.)2[66",Kyrgyz Revolution of 2010,https://en.wikipedia.org/wiki/2010_South_Kyrgyzstan_ethnic_clashes,https://en.wikipedia.org/wiki/Kyrgyz_Revolution_of_2010,41544.0
2010,2010,"2010 Kingston unrest
","Jamaica
Jamaica Constabulary
Force
Jamaica Defence Force
Foreign support:
United States:
DEA[68]
Department of Homeland
Security",Shower P,"Jamaican political conflict
in the war on drugs",https://en.wikipedia.org/wiki/2010_Kingston_unrest,https://en.wikipedia.org/wiki/Jamaican_political_conflict,22649.0
2010,2015,Insurgency in Gorno-Badakhshan (2010–2015),"Tajikistan
Armed Forces of
Tajikistan","Unite
Isla
Uzbekis
Isla
Tajikista
Lal
Pa",,https://en.wikipedia.org/wiki/Insurgency_in_Gorno-Badakhshan_(2010%E2%80%932015),,20407.0
2010,2011,"Second Ivorian Civil War
","FNCI
Liberian mercenaries[69]
RDR
UNOCI
France[70]
Ukraine[71]","Milita
Liber
COJE
FPI",Ivorian Civil Wars,https://en.wikipedia.org/wiki/Second_Ivorian_Civil_War,https://en.wikipedia.org/wiki/Ivorian_Civil_War_(disambiguation),90016.0
2011,Ongoing,"Nigerian bandit conflict
","Nigeria
Nigeria Police Force
Nigerian Armed Forces
Nigerian Army
Nigerian Air Force
Vigilante groups
Vigilante Group of Nigeria
Lakurawa (2016/2018-2023)","Various b
Hausa
Mor
Fulani m
Ali K
Dog
Kac
ban
Ada
grou
Bell
Dan",Herder–farmer conflicts in Nigeria,https://en.wikipedia.org/wiki/Nigerian_bandit_conflict,https://en.wikipedia.org/wiki/Herder%E2%80%93farmer_conflicts_in_Nigeria,139094.0
,,,,"Kac
Kac
ban
Islamist
Islami
ISWAP
Boko
Ansa
Lakurawa",,,,
2011,2023,"Sinai insurgency
","Egypt
Central Security Forces
Egyptian Ministry of the
Interior
National Security Service
National Police
Egyptian Army
Sinai Tribal Union
Supported by
United Arab Emirates
(training, counterterrorism
missions)[73]","Islamis
Ansar B
(until la
Al-Q
Taw
Al-Q
(201
Abd
Ans
Hasm M
Bedouin
Jund al
Al-Mou
Popular
Takfir w
Army of
Al Furq
Soldiers
Islam
Wilayat
Mujahid
(until 20","terrorism in Egypt, the Egyptian Crisis, and the Arab
Winter",https://en.wikipedia.org/wiki/Sinai_insurgency,https://en.wikipedia.org/wiki/Timeline_of_terrorism_in_Egypt_(2013%E2%80%93present),171090.0
2011,Ongoing,"Insurgency in Bahrain
","Bahrain
Supported by:
Saudi Arabia
United Arab Emirates","Bahr
Supporte
Iran","2011 Bahraini uprising and the Iran–Saudi Arabia
proxy conflict",https://en.wikipedia.org/wiki/Insurgency_in_Bahrain,https://en.wikipedia.org/wiki/2011_Bahraini_uprising,36193.0
