,Started,Ended,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026),Continent
40,2023.0,Ongoing,"Gaza war
","Israel[k]
Israeli allies:
Popular Forces[l][m]","Hamas
Palestinian allies:
Palestinian Islamic Jihad
Popular Front for the
Liberation of Palestine
Democratic Front for the
Liberation of Palestine
Al-Aqsa Martyrs' Brigades
Palestinian Mujahideen
Movement
Palestinian Freedom
Movement
Popular Resistance
Committees
Popular Front for the
Liberation of Palestine –
General Command
Abdul al-Qadir al-
Husseini Brigades
Jaysh al-Ummah","Gaza–
Israel conflict, the
Israeli–Palestinian
conflict, and the
Middle Eastern
crisis",https://en.wikipedia.org/wiki/Gaza_war,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict,9250112.0,Asia
41,2023.0,Ongoing,"Israel–Hezbollah
conflict
Part of the
Hezbollah–Israel
conflict, the Middle
Eastern crisis and
the Iran–Israel
conflict during the
Syrian civil war",Israel,"Hezbollah[101]
Allies:
Amal[102]
Islamic Group[103]
SSNP-L
Hamas[104]
PIJ[105]
Popular Resistance
Committees[106]
Popular Front for the
Liberation of Palestine[107]
Islamic Resistance in
Iraq
Houthis[108]
Iran
Syria
(until 2024)
Islamic Azz Brigades[101]",,https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present),https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present),573895.0,Asia
42,2023.0,2024,"Attacks on US
bases during the
Gaza war
","United States
United Kingdom[109]
Supported by:
Jordan[110]
Syrian Democratic
Forces
Al-Tanf Garrison[111]","Iran
Ba'athist Syria (until
2024)[112]
Proxies
Islamic Resistance in Iraq
Syrian Hezbollah[113]
Liwa Fatemiyoun[114]
Popular Mobilization
Forces[115]","Iran–
Israel proxy conflict,
the Middle Eastern
crisis, the Syrian
opposition
offensives, and the
Eastern Syria
insurgency in the
Syrian civil war",https://en.wikipedia.org/wiki/Attacks_on_US_bases_during_the_Gaza_war,https://en.wikipedia.org/wiki/Attacks_on_US_bases_during_the_Gaza_war,132846.0,Asia
43,2024.0,Ongoing,"Ecuadorian conflict
Part of the
Ecuadorian security
crisis and the war
on drugs",Government of Ecuador,"Organized crime groups,
notably Los Choneros",,https://en.wikipedia.org/wiki/Ecuadorian_conflict_(2024%E2%80%93present),https://en.wikipedia.org/wiki/Ecuadorian_security_crisis,137424.0,Undefined
44,2024.0,2024,"2024 Iran–Pakistan
border skirmishes
Part of the
insurgency in
Balochistan and
Sistan and
Baluchestan
insurgency","Iran
Claimed by Pakistan:
Baloch Nationalists:
Balochistan Liberation
Army
Balochistan Liberation
Front","Pakistan
Claimed by Iran:
Islamists:
Jaish ul-Adl",,https://en.wikipedia.org/wiki/2024_Iran%E2%80%93Pakistan_border_skirmishes,https://en.wikipedia.org/wiki/2024_Iran%E2%80%93Pakistan_border_skirmishes,38138.0,Undefined
45,2024.0,2025,"Kursk offensive
Part of attacks in
Russia during the
Russian invasion of
Ukraine","Russia
North Korea[n]",Ukraine,,https://en.wikipedia.org/wiki/Kursk_offensive_(2024%E2%80%932025),https://en.wikipedia.org/wiki/Attacks_in_Russia_during_the_Russian_invasion_of_Ukraine,293707.0,Undefined
46,2024.0,Ongoing,"Hamas–Popular
Forces conflict
","Popular Forces
Israel
Supported by:
Palestinian Authority
(denied by the PA)[117]",Hamas,"Gaza
war",https://en.wikipedia.org/wiki/Hamas%E2%80%93Popular_Forces_conflict,https://en.wikipedia.org/wiki/Hamas%E2%80%93Popular_Forces_conflict,91326.0,Asia
47,2024.0,2024,"2024 Israeli
invasion of Lebanon
",Israel,"Hezbollah
Allies:
Amal Movement[118]
Islamic Group[119]
SSNP-L[120]
Houthi movement[121]
Popular Front for the
Liberation of Palestine[122]
Palestinian Islamic
Jihad[123]
Islamic Resistance in
Iraq[124]
Lebanon[o][125]
[p]
UNIFIL","Israel–
Hezbollah conflict,
the Middle Eastern
crisis and the
Israeli–Lebanese
conflict",https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon,https://en.wikipedia.org/wiki/2024_Israeli_invasion_of_Lebanon,508695.0,Asia
48,,,,,,,,,,Undefined
49,2024.0,2024,"2024 Syrian
opposition
offensives
","Syrian Opposition
Syrian Salvation
Government
Syrian Interim
Government
Jaysh al-Izza
Turkistan Islamic
Party in Syria[127]
Jama'at Ansar al-
Islam[128]
Ajnad al-
Kavkaz[129]
Imam Bukhari
Jamaat[130]
Ansar al-
Tawhid[130]
Burkan al-Furat[131]
Southern
Operations
Room[132][133]
Syrian Free Army
Suqour al-Sham
Brigades[134]","Syrian Government
Iran[135]
Russia[136][137]
Hezbollah[138]
DAANES
CJTF–OIR
United States[q]","Syrian
civil war",https://en.wikipedia.org/wiki/2024_Syrian_opposition_offensives,https://en.wikipedia.org/wiki/2024_Syrian_opposition_offensives,465266.0,Asia
