Start,Finish,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
"c.
1260
BC","c. 1260
BC",Ramesses II's Nubian\nCampaigns,Egypt,Nubia,,https://en.wikipedia.org/wiki/Ramesses_II#Nubian_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Nubian_campaigns,1746873.0
"c.
1260
BC","c. 1255
BC",Piyama-Radu Revolt[38],Piyama-Radu\nAhhiyawa,Hittite Empire,,https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,,792429.0
"c.
1250
BC","c. 1250
BC",Ramesses II's Libyan\nCampaigns,Egypt,Libya,,https://en.wikipedia.org/wiki/Ramesses_II#Libyan_campaigns,https://en.wikipedia.org/wiki/Ramesses_II#Libyan_campaigns,1746873.0
"c.
1235
BC","c. 1235
BC",Babylonian–Assyrian War of\n1235 BC,Assyria,Babylonia,,https://en.wikipedia.org/wiki/Babylonian%E2%80%93Assyrian_War_of_1235_BC,https://en.wikipedia.org/wiki/Babylonian%E2%80%93Assyrian_War_of_1235_BC,1025.0
"c.
1206
BC","c. 1150
BC",Late Bronze Age collapse[39],Sea peoples,Hittites\nNew Kingdom of Egypt\nMycenaean Greece,,https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse,,936365.0
"c.
1203
BC","c. 1187
BC",Wars of succession in 19th\nDynasty Egypt[40],Setnakhte,"Amenmesse, Seti II\nand Tausret",,https://en.wikipedia.org/wiki/End_of_the_19th_Dynasty,https://en.wikipedia.org/wiki/End_of_the_19th_Dynasty,16330.0
"c.
1194
BC","c. 1184
BC",Trojan War[41],Achaeans (mainly Mycenaens\nand Spartans),Troy,,https://en.wikipedia.org/wiki/Trojan_War,,2069046.0
"c.
1190
BC","c. 1190
BC",Destruction of Ugarit[42],Unknown (probably the Sea\nPeoples),Ugarit,,https://en.wikipedia.org/wiki/Ugarit#Destruction,,336231.0
c. 1184–1155 BC,,Elamite invasion of\nBabylonia,Elam,Babylonia,,https://en.wikipedia.org/wiki/Shutruk-Nakhunte#Invasion_of_Babylonia,https://en.wikipedia.org/wiki/Shutruk-Nakhunte#Invasion_of_Babylonia,29156.0
"c.
1110
BC","c. 1110
BC",Babylonian War with\nElam[43],Babylonia,Elam,,https://en.wikipedia.org/wiki/Nebuchadnezzar_I#War_with_Elam,https://en.wikipedia.org/wiki/Nebuchadnezzar_I#War_with_Elam,98169.0
"c.
1100
BC","c. 1100
BC",Kurukshetra war[44],Forces of Pandavas under\nYudhishthira,Forces of Kauravas\nunder Duryodhana,,https://en.wikipedia.org/wiki/Kurukshetra_war,,7720.0
"c.
1046
BC","c. 1046
BC",Shang–Zhou War[45][46],Zhou rebel forces,Shang dynasty,,https://en.wikipedia.org/wiki/Battle_of_Muye,,67457.0
"c.
1042
BC","c. 1039
BC",Rebellion of the Three\nGuards[47],King Cheng of Zhou,Shu Du of Cai,,https://en.wikipedia.org/wiki/Rebellion_of_the_Three_Guards,https://en.wikipedia.org/wiki/Rebellion_of_the_Three_Guards,23143.0
Start,Finish,Name of Conflict,Belligerents,,,,,
,,,Victorious,Defeated,,,,
854 BC,846 BC,Assyrian conquest of\nAram,Assyrian Empire,Aram,,https://en.wikipedia.org/wiki/Assyrian_conquest_of_Aram,https://en.wikipedia.org/wiki/Assyrian_conquest_of_Aram,16073.0
757 BC,723 BC,Colchis conquer Diauehi,Colchis,Diauehi,,https://en.wikipedia.org/wiki/Colchis,,292802.0
752 BC,752 BC,Wars with the Latins and\nthe Sabines\n(for the Rape of the\nSabine Women),Roman Kingdom,Sabines,,https://en.wikipedia.org/wiki/Battle_of_the_Lacus_Curtius,https://en.wikipedia.org/wiki/Battle_of_the_Lacus_Curtius,8745.0
"During the reign of
Romulus
(Between 753 and 716
BC)",,Conquest of Cameria,Roman Kingdom,Cameria,,https://en.wikipedia.org/wiki/Cameria#Conquest_by_Romulus,,12808.0
,,War with Fidenae and Veii,Roman Kingdom,Fidenae\nVeii,,https://en.wikipedia.org/wiki/Roman%E2%80%93Etruscan_Wars#War_with_Fidenae_and_Veii_under_Romulus,,74995.0
740 BC,720 BC,First Messenian War,Sparta,Messenia,,https://en.wikipedia.org/wiki/First_Messenian_War,,36999.0
736 BC,732 BC,Syro-Ephraimite War,Assyrian Empire\nKingdom of Judah,Aram\nKingdom of Israel,,https://en.wikipedia.org/wiki/Syro-Ephraimite_War,,21983.0
733 BC,733 BC,Pekah-Ahaz War,Kingdom of Judah,Israel\nEdom\nPhilistia,,https://en.wikipedia.org/wiki/Pekah-Ahaz_War?action=edit&redlink=1,,-1.0
732 BC,"Before 721
BC",Nubian Conquest of\nEgypt,Nubia\nUpper Egypt\nHermopolis,Middle Egypt\nLower Egypt,,https://en.wikipedia.org/wiki/Piye#Conquest_of_Egypt,https://en.wikipedia.org/wiki/Piye#Conquest_of_Egypt,81193.0
725 BC,725 BC,Colchian–Scythian war,Colchis,Scythia\nCimmerians,,https://en.wikipedia.org/wiki/Colchis#Persian_rule,,292802.0
722 BC,481 BC,Wars of the Chinese\nSpring and Autumn period,Han\nWei\nZhao\nQin\nChu\nQi\nYan\nThose were the\nremaining major states,Smaller states\n(consumed by other\nstates),,https://en.wikipedia.org/wiki/Spring_and_Autumn_period,,314392.0
714 BC,"After 706
BC",Urartu–Assyria War,Neo-Assyrian Empire,Urartu,,https://en.wikipedia.org/wiki/Urartu%E2%80%93Assyria_War,,11661.0
710 BC,650 BC,Lelantine War,Eretria and allies,Chalcis and allies,,https://en.wikipedia.org/wiki/Lelantine_War,,22516.0
703 BC,689 BC,Sennacherib's War with\nBabylon,Neo-Assyrian Empire,Babylonia\nChaldea\nAramaea\nElam,,https://en.wikipedia.org/wiki/Sennacherib#War_with_Babylon,https://en.wikipedia.org/wiki/Sennacherib#War_with_Babylon,300559.0
701 BC,701 BC,Sennacherib's campaign\nin Judah,Kingdom of Judah\nKushite Egypt,Neo-Assyrian Empire,,https://en.wikipedia.org/wiki/Sennacherib's_campaign_in_Judah,https://en.wikipedia.org/wiki/Sennacherib's_campaign_in_Judah,2560.0
685 BC,668 BC,Second Messenian War,Sparta\nCorinth\nLepreo\nCretan mercenaries,Messenia\nArcadia\nSicyon\nElis\nArgos,,https://en.wikipedia.org/wiki/Second_Messenian_War,,31967.0
"During the reign of Tullus
Hostilius
(Between 672 and 640
BC)",,Second War with Fidenae\nand Veii,Roman Kingdom,Fidenae\nVeii,,"https://en.wikipedia.org/wiki/Roman%E2%80%93Etruscan_Wars#Second_War_with_Fidenae_and_Veii,_under_Tullus_Hostilius","https://en.wikipedia.org/wiki/Roman%E2%80%93Etruscan_Wars#Second_War_with_Fidenae_and_Veii,_under_Tullus_Hostilius",74995.0
,,Second Sabine War,Roman Kingdom,Sabines,,https://en.wikipedia.org/wiki/Roman%E2%80%93Sabine_wars#War_with_Tullus_Hostilius,,23096.0
,,,,,,,,
676 BC,676 BC,Mannaean-Assyrian War,Neo-Assyrian Empire,Mannaea,,https://en.wikipedia.org/wiki/Mannaea#History,,50416.0
671 BC,"After 664
BC",Esarhaddon's War\nagainst Egypt,Neo-Assyrian Empire,Egypt\nKingdom of Kush,,https://en.wikipedia.org/wiki/Esarhaddon,https://en.wikipedia.org/wiki/Esarhaddon,130887.0
669 BC,,Battle of Hysiae,Argos,Sparta,,https://en.wikipedia.org/wiki/Battle_of_Hysiae_(c._669_BC),,6357.0
655 BC,639 BC,Assyrian conquest of\nElam,Neo-Assyrian Empire,Elam,,https://en.wikipedia.org/wiki/Assyrian_conquest_of_Elam,https://en.wikipedia.org/wiki/Assyrian_conquest_of_Elam,23349.0
652 BC,"648 or 646
BC",Shamash-shum-ukin's\nCivil War,Neo-Assyrian Empire,Assyrian Babylon\nMesopotamian Sealands\nElam\nChaldea\nGuti\nAmurru kingdom\nMeluhha\nArab tribes,,https://en.wikipedia.org/wiki/Shamash-shum-ukin,https://en.wikipedia.org/wiki/Babylon#Assyrian_period,10737.0
643 BC,642 BC,War of Qi's succession,Faction of Prince Zhao,Faction of Prince Wukui\nFaction of Prince Pan\nFaction of Prince\nShangren\nFaction of Prince Yuan\nFaction of Prince Yong\n(Qi)\nSupported by:\nLu\nBeidi,,https://en.wikipedia.org/wiki/War_of_Qi's_succession,,7877.0
642 BC,338 BC,Roman-Latin wars,Roman Kingdom\nRoman Republic,Latins,,https://en.wikipedia.org/wiki/Roman-Latin_wars,,7500.0
