Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1135,1154,The Anarchy,Stephen of Blois,Empress Matilda\nHenry Plantagenet,,https://en.wikipedia.org/wiki/The_Anarchy,,444463.0
1403,1403,Percy Rebellion,Kingdom of England,English rebels,,https://en.wikipedia.org/wiki/Henry_Percy_(Hotspur),,410901.0
1206,1368,Mongol invasions and\nconquests,Mongol Empire,Western Xia\nJin dynasty\nManchuria\nDali Kingdom\nKhwarizmian Empire\nKara-Khitan Khanate\nSong dynasty\nKievan Rus'\nVolga Bulgaria\nByzantine Empire\nKingdom of Poland\nKingdom of Hungary\nKingdom of Croatia\nKingdom of Serbia\nBulgarian Empire\nSultanate of Rûm\nEmpire of Trebizond\nCrusader states\nSukhothai Kingdom\nMamluk Sultanate\nAbbasid Caliphate\nGoryeo\nPagan Kingdom,,https://en.wikipedia.org/wiki/Mongol_invasions_and_conquests,https://en.wikipedia.org/wiki/Mongol_invasions_and_conquests,408413.0
1177,1177,Battle of Montgisard\n,Kingdom of Jerusalem,Ayyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Battle_of_Montgisard,,406890.0
1389,1389,Battle of Kosovo,Ottoman Empire,Moravian Serbia\nDistrict of Branković\nKingdom of Bosnia\nKnights Hospitaller,,https://en.wikipedia.org/wiki/Battle_of_Kosovo,,402330.0
1396,1396,Battle of Nicopolis,Ottoman Empire\nMoravian Serbia,Holy Roman Empire\nBohemian Crown\nDuchy of Savoy\nSwiss Confederacy\nKingdom of France\nDuchy of Burgundy\nKingdom of Hungary\nVoivodship of\nTransylvania\nKingdom of Croatia\nPrincipality of Wallachia[2]\nKnights Hospitaller\nRepublic of Venice\nRepublic of Genoa\nSecond Bulgarian\nEmpire[3]\nPoland Middle Ages\nKingdom of Navarre\nTeutonic Knights\nByzantine Empire,,https://en.wikipedia.org/wiki/Battle_of_Nicopolis,,394340.0
1145,1149,Second Crusade\n,Sultanate of Rûm\nAlmoravid Dynasty\nZengid Dynasty\nFatimid Caliphate,Kingdom of Jerusalem\nKingdom of France\nHoly Roman Empire\nKingdom of Portugal\nKingdom of Castile\nCounty of Barcelona\nKingdom of León\nByzantine Empire\nKingdom of Sicily\nKingdom of England,Crusades,https://en.wikipedia.org/wiki/Second_Crusade,,388257.0
1187,1187,Siege of Jerusalem,Ayyubid Dynasty,Kingdom of Jerusalem,,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1187),,381874.0
1296,1328,First War of Scottish\nIndependence,Kingdom of Scotland,Kingdom of England,,https://en.wikipedia.org/wiki/First_War_of_Scottish_Independence,https://en.wikipedia.org/wiki/First_War_of_Scottish_Independence,339385.0
1147,1242,Northern Crusades\n,Kingdom of Denmark\nKingdom of Sweden\nSword-Brothers\nTeutonic Order,Estonians\nOeselians\nSemigallians\nCuronians\nLatgallians\nSelonians\nLivonians\nPrussians\nPolabian Slavs,Crusades,https://en.wikipedia.org/wiki/Northern_Crusades,,302666.0
