Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1183,1183,Battle of Al-Fule\n,Kingdom of Jerusalem,Ayyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Battle_of_Al-Fule,,4073.0
1185,1204,Uprising of Asen and Peter,Bulgarian Empire,Byzantine Empire,,https://en.wikipedia.org/wiki/Uprising_of_Asen_and_Peter,,30525.0
1185,1185,,Konrád II Ota,"Frederick, Duke of Bohemia",,,,
1187,1187,Battle of Cresson\n,Ayyubid Dynasty,Kingdom of Jerusalem,Crusades,https://en.wikipedia.org/wiki/Battle_of_Cresson,,46642.0
1187,1187,Battle of Hattin\n,Ayyubid Dynasty,Kingdom of Jerusalem\nCounty of Tripoli\nPrincipality of Antioch,Crusades,https://en.wikipedia.org/wiki/Battle_of_Hattin,,568273.0
1187,1187,Siege of Jerusalem,Ayyubid Dynasty,Kingdom of Jerusalem,,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(1187),,381874.0
1189,1192,Third Crusade\n,Kingdom of Jerusalem\nKingdom of England\nKingdom of France\nHoly Roman Empire\nKnights Templar\nKingdom of Sicily,Ayyubid Dynasty\nZengid Dynasty\nByzantine Empire,Crusades,https://en.wikipedia.org/wiki/Third_Crusade,,787256.0
1191,1191,Conquest of Cyprus by\nRichard I,Kingdom of England,Isaac Komnenos of Cyprus,,https://en.wikipedia.org/wiki/Richard_I_of_England#Conquest_of_Cyprus:~:text=Conquest_of_Cyprus_by_Richard_I,https://en.wikipedia.org/wiki/Richard_I_of_England#Conquest_of_Cyprus:~:text=Conquest_of_Cyprus_by_Richard_I,2024752.0
1197,1198,Crusade of 1197\n,Holy Roman Empire,Ayyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Crusade_of_1197,,34284.0
1198,1290,Livonian Crusade\n,Sword-Brothers\nLivonian Order\nKingdom of Denmark\nKingdom of Sweden,Finnic peoples\nLivonians\nEstonians\nOeselians\nBaltic people\nLatgallians\nSelonians\nCuronians\nSemigallians,Crusades,https://en.wikipedia.org/wiki/Livonian_Crusade,,98990.0
